,Temporada,round,game_id,date,fixture,team_id,team_name,possession,opponent_possession,place,PPDA,defensive_intensity,defensive_duels_won_%,defensive_height,opposition_pass_tempo,opposition_progression_percentage,opp_final_third_to_box_%,Opposition_xT,high_turnovers,turnover_line_height,recoveries_within_5s_%,avg_time_to_defensive_action,avg_recovery_time,opposition_final_third_entries_10s,opposition_box_entries_10s,opposition_xG_10s,recoveries,recovery_height,retained_possessions_5s,retained_possessions_5s_%,final_third_entries_10s,box_entries_10s,xG_10s,xT_10s,field_tilt_%,long_ball_%,pass_tempo,final_third_entries_%,final_third_to_box_entries_%,xT,penalty_area_touches,box_entries_to_shot_%,np_shots,high_opportunity_shots,np_xg,np_goals,xg_per_shot,ball_in_play,total_xg,goal_difference,goals_conceded,goals_scored
209,2026,11,1955836,2026-04-12,Cruzeiro 2 x 1 Red Bull Bragantino,1230,Cruzeiro,48.09,51.91,Casa,6.309523809523809,83.79888268156425,0.6896551724137931,38.482,16.283185840707965,42.04545454545455,26.666666666666668,0.9217832,50.94614264919941,55.19422222222222,17.741935483870968,62.13636363636363,96.35606060606061,26,9,0.078041844,59.718743979965325,44.74354838709677,51,42.857142857142854,24,10,1.8539257,1.7449903,48.63203197048878,8.421052631578947,17.64331210191083,43.01075268817204,32.20338983050847,6.8686,31,36.84210526315789,16,6.0,3.2177,2.0,0.2011062502861023,15.7,3.2177,1,1,2.0
210,2026,11,1955839,2026-04-12,Internacional 0 x 0 Gremio,1219,Internacional,53.81,46.19,Casa,5.0588235294117645,107.16605325828101,0.7162162162162162,42.038262711864405,17.896138482023968,41.333333333333336,14.285714285714285,0.3771098,39.026203307935326,62.65960784313725,25.581395348837212,50.666666666666664,66.73333333333333,15,3,0.03705796,93.09374323446634,45.626162790697684,55,41.66666666666667,43,18,1.0609351,2.4362009,63.674467341949004,6.810035842293908,18.308571428571426,51.11111111111111,32.5,7.8917193,21,15.384615384615385,11,2.0,1.1089324,0.0,0.10081203417344527,14.583333333333334,1.1089324,0,0,0.0
211,2026,11,1955839,2026-04-12,Internacional 0 x 0 Gremio,1244,Gremio,46.19,53.81,Fora,10.409090909090908,72.47723471473704,0.6888888888888889,28.12736111111111,18.308571428571426,45.55555555555556,6.779661016949152,1.1374183,83.35137475644079,48.79785714285715,16.666666666666664,49.5,76.42361111111111,43,18,1.0609351,66.90206281360341,31.723125,48,53.93258426966292,15,3,0.03705796,1.0531769,36.325532658050996,18.930041152263374,17.896138482023968,42.66666666666667,29.545454545454547,4.7650867,9,7.6923076923076925,4,0.0,0.24484488,0.0,0.06121122092008591,12.516666666666667,0.24484488,0,0,0.0
212,2026,11,1955842,2026-04-12,Athletico Paranaense 2 x 0 Chapecoense AF,1243,Athletico Paranaense,57.71,42.29,Casa,8.516129032258064,73.30338141404587,0.5409836065573771,36.6980412371134,17.31818181818182,37.68115942028986,4.166666666666666,0.6828737,42.45364754808526,56.504538461538466,15.254237288135593,70.6178861788618,80.42372881355932,21,6,0.0,69.75644360368881,37.82669491525424,63,53.84615384615385,12,6,0.1488342,1.2713453,57.228116710875334,9.768637532133676,19.184013322231475,48.35164835164835,47.69230769230769,9.012908,35,19.35483870967742,14,3.0,1.6294092,2.0,0.11638637099947248,20.016666666666666,1.6294092,2,0,2.0
213,2026,11,1955842,2026-04-12,Athletico Paranaense 2 x 0 Chapecoense AF,8865,Chapecoense AF,42.29,57.71,Fora,10.75,54.58326113325247,0.5,35.747297297297294,19.184013322231475,42.857142857142854,17.391304347826086,1.4900129,42.5632537242847,54.69068181818182,16.923076923076923,51.02061855670103,81.94845360824742,12,6,0.0,56.31606307399064,45.25661538461538,45,54.87804878048781,21,6,0.0,1.1627381,42.771883289124666,11.387900355871885,17.31818181818182,39.130434782608695,32.432432432432435,5.3275948,7,25.0,8,0.0,0.1935655,0.0,0.024195687845349312,14.666666666666666,0.1935655,-2,2,0.0
214,2026,12,1955854,2026-04-18,Vasco da Gama 2 x 1 Sao Paulo,1224,Sao Paulo,38.26,61.74,Fora,8.8,63.97797214123745,0.5849056603773585,28.784608695652175,19.188069594034797,55.00000000000001,30.0,2.122321,70.5697856769472,54.31923913043478,15.584415584415584,45.6390977443609,75.5813953488372,34,14,0.0,62.358276643990926,36.237272727272725,37,31.896551724137932,22,6,0.0,1.5831454,34.111422346716466,8.294930875576037,16.524064171122994,34.065934065934066,31.372549019607842,5.647875,31,25.0,10,5.0,1.5134186,1.0,0.15134185552597046,12.466666666666667,1.5134186,-1,2,1.0
215,2026,12,1955854,2026-04-18,Vasco da Gama 2 x 1 Sao Paulo,1226,Vasco da Gama,61.74,38.26,Casa,6.0,112.38891792995295,0.7777777777777778,35.5072131147541,16.524064171122994,30.76923076923077,25.64102564102564,1.0239366,35.633300939423386,60.01341549295775,14.117647058823529,51.94285714285714,69.92857142857143,22,6,0.0,111.08207004704653,40.41635294117647,62,61.386138613861384,34,14,0.102193594,3.0527492,65.88857765328353,5.764411027568922,19.188069594034797,60.0,44.61538461538462,12.740129,47,37.93103448275862,19,1.0,1.3028679,1.0,0.06857199417917352,20.116666666666667,1.7094259,1,1,2.0
216,2026,12,1955878,2026-04-18,Chapecoense AF 1 x 4 Botafogo RJ,1227,Botafogo RJ,47.19,52.81,Fora,40.4,47.33951903048665,0.5135135135135135,29.17913793103448,17.171314741035857,53.086419753086425,13.953488372093023,1.067191,60.39415130324222,49.77875,13.23529411764706,52.95798319327731,80.18103448275862,30,8,0.10997908,64.38174588146184,34.48632352941176,53,48.62385321100918,19,3,0.3588604,2.4610944,49.13554633471646,9.387755102040817,20.950965824665676,37.37373737373738,46.808510638297875,9.99686,24,45.45454545454545,13,4.0,1.9143528,4.0,0.14725790574000433,22.433333333333334,1.9143528,3,1,4.0
217,2026,12,1955878,2026-04-18,Chapecoense AF 1 x 4 Botafogo RJ,8865,Chapecoense AF,52.81,47.19,Casa,19.59090909090909,56.15596524687434,0.6341463414634146,43.08409090909091,20.950965824665676,31.313131313131315,31.25,1.5677661,35.03124408256012,59.44139534883721,24.242424242424242,60.55905511811024,101.55905511811024,19,3,0.3588604,69.93006993006993,48.3875,69,72.63157894736842,30,8,0.10997908,2.3205428,50.864453665283534,13.053097345132745,17.171314741035857,58.0246913580247,36.206896551724135,10.589677,18,9.523809523809524,9,0.0,0.25805128,1.0,0.02867236402299669,25.1,0.25805128,-3,4,1.0
218,2026,12,1955851,2026-04-19,Flamengo 2 x 0 Bahia,1239,Flamengo,49.72,50.28,Casa,13.833333333333334,53.69928400954653,0.5510204081632653,38.85346153846154,19.117241379310343,32.608695652173914,10.638297872340425,1.910747,30.16894609814964,64.48016129032258,17.1875,54.13008130081301,81.36666666666666,19,4,0.07052795,63.64359586316627,48.747890625,70,71.42857142857143,38,14,1.0379682,2.8887641,60.79036739734486,6.25,20.292887029288703,50.0,50.847457627118644,13.949036,56,33.33333333333333,20,4.0,2.2260253,2.0,0.1113012671470642,23.9,2.2260253,2,0,2.0
